"Number","Position","Team","Age","Foot","Experience","Experience_VFF","Video","Decision","RT","Trial_Number","participant","highest_prio","highest_prio_named","answer","accuracy"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_89\Klip_89_4","false switch play",8.99917660001665,62,3,4,"Pass it over the opponent",7,"Bad"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_71\Klip_71_3","switch play2",4.88733230007347,63,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_5\Klip_5_1","highest free man",3.26467170007527,64,3,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Warmup/Klip_2\Klip_2_2","switch play",14.75069539994,1,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Warmup/Klip_3\Klip_3_1","highest free man",17.6465052999556,2,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Warmup/Klip_1\Klip_1_1","link out",17.3609027999919,3,5,1,"Highest free man",2,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_91\Klip_91_3","switch play2",13.4593162999954,4,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_30\Klip_30_1","switch play",3.07531650003511,5,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_55\Klip_55_2","link out",16.7370479000965,6,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_93\Klip_93_3","switch play",1.80935210001189,7,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_83\Klip_83_4","false highest free man",2.88145430001896,8,5,4,"Pass it over the opponent",5,"Bad"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_23\Klip_23_2","switch play2",1.42987929994706,9,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_22\Klip_22_1","highest free man",3.88652529998217,10,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_77\Klip_77_2","link out2",3.42825220001396,11,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_13\Klip_13_1","highest free man2",1.62713689997327,12,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_21\Klip_21_2","switch play",10.6782117999392,13,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_75\Klip_75_1","highest free man",2.74615150003228,14,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_43\Klip_43_2","link out",2.5613739999244,15,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_80\Klip_80_3","switch play2",10.6863469000673,16,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_82\Klip_82_4","pass it over",10.7749160999665,17,5,4,"Pass it over the opponent",4,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_14\Klip_14_1","switch play",2.09256729995832,18,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_65\Klip_65_2","link out",4.71796089992858,19,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_24\Klip_24_2","switch play2",2.96036939998157,20,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_39\Klip_39_3","switch play",4.67278229992371,21,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_59\Klip_59_1","highest free man2",3.19173469999805,22,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_84\Klip_84_4","false switch play",19.2472413000651,23,5,4,"Pass it over the opponent",7,"Bad"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_27\Klip_27_1","highest free man",9.48455639998429,24,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_12\Klip_12_2","link out",2.91066309995949,25,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_16\Klip_16_1","switch play",3.4129192000255,26,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_38\Klip_38_1","switch play",6.92478390003089,27,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_72\Klip_72_1","highest free man",4.91053240001202,28,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_90\Klip_90_4","false switch play",2.52032159990631,29,5,4,"Pass it over the opponent",7,"Bad"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_45\Klip_45_3","switch play2",4.58237199997529,30,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_6\Klip_6_1","switch play",8.57807399996091,31,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_5\Klip_5_1","switch play2",5.57522669993341,32,5,1,"Highest free man",3,"Good"
